Week,Mock,IL6-Mock,BAFF,IL6-BAFF,Mock_1,Mock_2,Mock_3,Mock_4,IL6_1,IL6_2,IL6_3,IL6_4,BAFF_1,BAFF_2,BAFF_3,BAFF_4,BAFF_5,BAFF_IL6_1,BAFF_IL6_2,BAFF_IL6_3,BAFF_IL6_4,BAFF_IL6_5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1916.339,5717.7585,64945.064,62403.37667,3018.701,1872.009,887.401,1887.245,7487.142,5460.001,7513.284,2410.607,32490.591,42762.483,147792.21,64039.985,37640.059,47532.69,,29194.543,110482.909,
3,1214.92025,6943.6775,54020.81,143171.858,1641.941,1329.355,876.288,1012.097,6106.714,6627.665,12791.847,2248.481,43404.356,97824.848,49955.773,45242.882,33676.189,278885.047,108670.834,119204.177,149730.153,59369.093
5,7875.918,18791.74,112659.98,185389.06,9144.105,9595.253,7838.251,4926.063,21127.41,17447.438,25882.671,10709.441,156561.976,145174.807,101804.423,87185.844,72572.859,261507.389,146751.462,214773.713,212915.846,90996.898
7,6756.24875,18026.6485,72678.631,107004.406,10605.937,8280.477,2596.319,5542.259,25143.321,17081.163,22554.619,7327.494,97420.638,103763.069,78818.34,74298.016,9093.055,196111.673,86233.37,92173.882,113825.719,46677.381
9,3829.026,15091.34925,27252.272,79997.44,4251.751,5079.186,2761.163,3224.004,19991.179,15895.593,16126.478,8352.147,50182.431,32593.997,26201.114,17222.271,10061.553,123579.021,72232.596,87417.501,87789.507,28968.594
11,3379.4355,8643.965,22311.954,72004.336,4251.751,2055.603,3179.2,4031.188,6744.056,8342.302,10584.263,8905.242,28446.244,41710.539,15675.509,15685.983,10041.501,108171.062,64800.744,70579.681,72609.887,43860.273
13,3811.32975,8686.60075,22701.618,63101.752,4872.411,4810.451,2485.245,3077.212,9383.689,8043.698,11927.018,5391.996,24832.477,41187.81,15569.659,18460.889,13457.248,94889.585,43085.028,71122.834,68196.589,38214.719
15,3653.78425,7252.78275,20731.246,59580.82,4512.713,4152.174,2409.396,3540.854,5404.349,6328.58,10851.278,6426.922,17721.498,26756.559,11818.368,36193.945,11165.847,78990.2,58035.455,60963.129,60778.827,39136.477
17,3009.17575,6793.642,15114.348,47950.392,4065.013,2459.97,2409.396,3102.324,5725.235,7089.615,8080.325,6279.393,12421.62,24513.358,11649.299,15773.239,11214.219,67702.802,41478.953,53092.665,54040.619,23436.915
19,1966.087,6885.9495,12338.7446,47315.728,2459.97,1927.285,1067.697,2409.396,4711.267,6586.634,7884.924,8360.973,14010.228,23401.404,5540.174,9978.753,8763.166,67139.992,39637.932,50176.408,49736.245,29888.064
25,2449.25,7517.5,7590,48223,3677,3103,805,2212,5469,4529,5359,14713,7193,9717,6129,5469,9442,94745,21925,37913,37039,49493
38,2707.75,4406,5393,19166.8,3034,1989,2774,3034,3969,3307,5341,5007,4970,6872,4333,6718,4072,29014,9200,21679,27489,8452
51,812.06,2523.681,3495.62275,10334.5306,650.117,598.18,,1187.883,1758.187,2952.099,3180.245,2204.193,,4891.921,3088.163,3525.084,2477.323,13372.009,4878.411,5261.991,19332.774,8827.471
