Week,Mock,Mock_IL6,King,King_IL6,Mock_1,Mock_2,Mock_3,Mock_4,Mock_5,IL6_1,IL6_2,IL6_3,IL6_4,-,-,-,-,-,IL6,IL6,IL6,IL6,IL6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19072.92925,44969.4115,951.7978,1010.5454,19744.647,1699.468,21967.833,20904.702,31719.714,68262.688,64656.692,41409.786,5548.48,4235.047,523.942,0,0,0,0,4332.395,0,0,720.332
3,15127.2475,85455.184,0,1176.7644,11004.03,3462.45,17339.383,9910.637,29796.52,109468.447,137111.124,90701.201,4539.964,0,0,0,0,0,1291.006,1811.666,111.534,758.001,1911.615
5,10616.8305,42214.03375,565.531,1357.3232,5791.658,1649.279,8652.255,7628.394,24537.394,59738.267,56637.305,49443.787,3036.776,489.936,273.192,1013.765,605.656,445.106,1641.557,1886.724,1328.874,843.061,1086.4
7,10429.569,45705.8725,1189.0376,1944.7256,7979.992,4192.958,6911.131,6794.188,23819.999,69062.458,66520.314,44772.489,2468.229,953.519,2005.693,1081.113,1268.024,636.839,2679.997,2383.025,1943.089,1197.03,1520.487
9,4063.19475,24688.3745,629.2652,1248.5336,3079.566,1283.309,2619.517,2892.581,9457.372,47369.477,-,101555.32,2007.272,520.369,589.684,901.346,380.121,754.806,1138.356,1594.829,1495.059,879.758,1134.666
11,3416.459,34234.408,885.124,2101.795,2276.675,1608.157,2968.296,3006.819,6082.564,59591.04,-,40051.207,3060.977,1035.383,987.826,763.176,830.986,808.249,2255.169,2276.675,2169.661,1516.429,2291.041
13,2675.2645,16131.79933,530.3472,2253.517,2097.355,1821.081,2477.548,2703.177,3699.252,27906.236,-,17877.076,2612.086,551.685,98.587,308.636,985.447,707.381,2727.387,1963.446,2415.989,1781.841,2378.922
15,2024.38525,30488.297,620.5094,1197.7938,1219.36,1069.954,1892.098,2258.693,2876.796,47568.473,-,42266.857,1629.561,380.748,665.72,707.153,707.153,641.773,1376.933,1416.996,1285.8,812.783,1096.457
17,1252.297,18710.33,695.8174,981.3862,1551.076,648.598,1563.406,1608.816,1188.368,25777.075,-,29103.387,1250.528,648.598,662.288,669.154,809.216,689.831,1353.022,679.478,1301.547,611.23,961.654
19,1411.67425,12609.80633,0,0,1238.656,0,2009.66,1017.409,2619.628,15972.097,-,21244.025,613.297,0,0,0,0,0,0,0,0,0,0
21,1389.368,10903.484,1072.4646,1878.3384,1063.082,986.501,1841.124,1063.082,1666.765,15412.721,-,16888.202,409.529,961.484,900.681,1308.347,1239.01,952.801,1507.746,2107.888,2064.251,1499.073,2212.734
147,,,,,,,,,,,,,,,,,,,,,,,
